"Reference","Value","Footprint","Datasheet","Qty","DNP","Exclude from BOM","Exclude from Board"
"C1,C2,C3,C4","10u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","4","","",""
"C5,C43","4.7u","Capacitor_SMD:C_0402_1005Metric","~","2","","",""
"C6,C7","4.7u","RP2350_80QFN_minimal:C_0402_1005Metric_small_pads","~","2","","",""
"C8,C9","15p","Capacitor_SMD:C_0402_1005Metric","~","2","","",""
"C10,C11,C12,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C35,C37,C38,C39,C40,C42,C44","100n","Capacitor_SMD:C_0402_1005Metric","~","29","","",""
"C13,C14","18p","Capacitor_SMD:C_0402_1005Metric","~","2","","",""
"C34","1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","1","","",""
"C36","1u","Capacitor_SMD:C_0805_2012Metric","~","1","","",""
"C41","1u","Capacitor_SMD:C_0402_1005Metric","~","1","","",""
"D1,D2,D3","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","3","","",""
"J1","USB_C_Receptacle_USB2.0_16P","Connector_USB:USB-C_SMD-TYPE-C-31-M-12","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","1","","",""
"J2","DE15_Socket_HighDensity_MountingHoles","Connector_Dsub:DSUB-15-HD_Socket_Horizontal_P2.29x2.54mm_EdgePinOffset8.35mm_Housed_MountingHolesOffset10.89mm","~","1","","",""
"J3","Micro_SD_Card","Connector_Card:microSD_HC_Molex_104031-0811","https://www.we-online.com/components/products/datasheet/693072010801.pdf","1","","",""
"J4","Mini-DIN-6","Connector:mini-din-6","http://service.powerdynamics.com/ec/Catalog17/Section%2011.pdf","1","","",""
"J5","Conn_02x03_Counter_Clockwise","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~","1","","",""
"J6","Conn_02x12_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x12_P2.54mm_Vertical","~","1","","",""
"L1","3.3u","RP2350_80QFN_minimal:L_pol_2016","~","1","","",""
"L2,L3,L4","FBMH1608HL121-TV","Inductor_SMD:L_0603_1608Metric","~","3","","",""
"P1","RB1-125BAG1A","GeT_Footprints_Library:WIZNET_RB1-125BAG1A","","1","","",""
"R1,R2,R3,R4,R5,R25,R44","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","7","","",""
"R6,R7,R10,R11,R13,R14","200","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","6","","",""
"R8,R12,R15","100","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","3","","",""
"R9,R45,R46","330","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","3","","",""
"R16","33","Resistor_SMD:R_0402_1005Metric","~","1","","",""
"R17,R20","27","Resistor_SMD:R_0402_1005Metric","~","2","","",""
"R18,R19,R43","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","3","","",""
"R21","470","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","1","","",""
"R22,R23","2k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","2","","",""
"R24,R27,R32","1k","Resistor_SMD:R_0402_1005Metric","~","3","","",""
"R26","10k","Resistor_SMD:R_0402_1005Metric","~","1","","",""
"R28,R30,R31,R33","3.3","Resistor_SMD:R_0402_1005Metric","~","4","","",""
"R29","4.7k","Resistor_SMD:R_0402_1005Metric","~","1","","",""
"R34,R35,R36,R37","49.9","Resistor_SMD:R_0402_1005Metric","~","4","","",""
"R38,R40","330","Resistor_SMD:R_0402_1005Metric","~","2","","",""
"R39","1M","Resistor_SMD:R_0402_1005Metric","~","1","","",""
"R41","12k/1%","Resistor_SMD:R_0402_1005Metric","~","1","","",""
"R42","300","Resistor_SMD:R_0402_1005Metric","~","1","","",""
"S1,S2,S3","TS-1088-AR02016","GeT_Footprints_Library:SW_TS-1088-AR02016","","3","","",""
"U1","NCP1117-3.3_SOT223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF","1","","",""
"U2","RPI_RMC20452T","GeT_Library:rpi_rmc20452t","","1","","",""
"U3","W25Q128JVS","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","http://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf","1","","",""
"U4","RP2350_80QFN","GeT_Footprints_Library:RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias","","1","","",""
"U5","APS6404L","Package_SO:SOP-8_3.9x4.9mm_P1.27mm","APS6404L-3SQR-SN","1","","",""
"U6","W5100S-L","Package_QFP:LQFP-48_7x7mm_P0.5mm","https://docs.wiznet.io/img/products/w5100s/w5100s-ds-v128e.pdf","1","","",""
"Y1","ABM8-272-T3","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","~","1","","",""
"Y2","25MHz","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","~","1","","",""
